sentiment,review
0,☹️
0,😔
0,😞
0,😥
0,รำ
0,Noๆ
0,Rip
0,T_T
0,กาก
0,โกง
0,ควย
0,แพง
0,ยาก
0,เลว
0,😣😣
0,ควยๆ
0,จริง
0,ชุ่ย
0,เซ็ง
0,ไม่ๆ
0,รำ😑
0,จิงคะ
0,ตอแหล
0,โนๆๆๆ
0,บ่ 👿
0,ผอมมม
0,เสือก
0,อีกละ
0,อีสัส
0,ไอสัด
0,😣😣😣
0,Nooooo
0,กวนตีน
0,จะอ๊วก
0,ตังค่ะ
0,บ่อยาก
0,บ่อิ่ม
0,พอเหอะ
0,แพง555
0,แพงจุง
0,แพงน่ะ
0,ไม่ !!
0,ไม่ทัน
0,ไม่ไป!
0,ไม่หิว
0,ไม่เอา
0,แย่จัง
0,แย่มาก
0,ลาก่อย
0,ส่งช้า
0,สัสหมา
0,เสียใจ
0,หน้าหี
0,อ้วนนน
0,อ้าววว
0,แอ่กกก
0,กินมั้ย
0,โกงมากก
0,เข็ดยัง
0,โคตรแย่
0,เง้ออออ
0,แงยุเวร
0,โง่ดว้ย
0,ตั้ง700
0,เบื่อละ
0,ฝี แหวะ
0,พอ อิ่ม
0,แพงด้วย
0,แพ้โซฟี
0,มั่วแระ
0,ไม่ไปละ
0,แยกย้าย
0,ลดนน.ยุ
0,สัส ไม่
0,เสียใจจ
0,เสียใจย
0,เสียวคอ
0,แหม่...
0,โห่ ไกล
0,อดอีกละ
0,อ๋อคร้า
0,กระลาแลน
0,กล่องบุบ
0,กลัวอ้วน
0,เงียบฉี่
0,เซ็งเป็ด
0,ไดเอทจ้ะ
0,น่าสมเพช
0,โนวววววว
0,พอเถอะ..
0,แพงอีดอก
0,แม่มึงสิ
0,ไม่กินจบ
0,ไม่กินนน
0,ไม่ไป???
0,ไม่รู้คะ
0,ไม่หร่อย
0,ย้อนแย้ง
0,ส่งช้าไป
0,ส้นตีนนน
0,สาขาน้อย
0,เสียใตไง
0,เสียเวลา
0,หยุดก่อน
0,อด😭😭😭
0,อ้วนนเด้
0,อิ่มแล้ว
0,อีใจร้าย
0,เออแพง55
0,กินไม่เปน
0,กุแพ้โซฟี
0,จะอ้วก!!!
0,ดีแม๊กอืด
0,ตอแหลป่าว
0,ตะเตือนไต
0,โนวมันนี่
0,บ่กินลีโอ
0,เพลียยยยย
0,แพงไม่แดก
0,แพงอยู่นะ
0,ไม่กิน285
0,ไม่กินอ่ะ
0,ไม่คุ้มมม
0,ไม่จ้ะไม่
0,ไม่ชอบกอน
0,ไม่ชอบบบบ
0,ไม่ใช่แนว
0,ไม่ดีกว่า
0,ไม่น่ากิน
0,ไม่เอาอ่ะ
0,รอบนี้ยาว
0,แรงชิบหาย
0,ลดหุ่นยุ่
0,สะพรึงค่ะ
0,เสียจายยย
0,เสียใจข่ะ
0,เสียใจเลย
0,อย่ามาชีส
0,😩😩😩😩😩
0,กฏมีไว้แหก
0,กุไม่ไปและ
0,เกลียดดดดด
0,ควยเลยครับ
0,เงินมีน้อย
0,จืดจริงๆคะ
0,แต่บ่ได้ไป
0,ปวดหัวครับ
0,เป็ด3 ชิ้น
0,พูเกจไม่มี
0,แพงจังวะ!!
0,แพงเบาๆแหะ
0,เมียไม่ชอบ
0,ไม่กินนนนน
0,ไม่กินเป็ด
0,ไม่กินลีโอ
0,ไม่แดกแล้ว
0,ไม่ได้ไปอะ
0,ไม่ทันแล้ว
0,ไม่น่าอิ่ม
0,ไม่ว่างค้ะ
0,ไม่อยากกิน
0,ไม่อร่อย..
0,ไม่อร่อยอะ
0,ไม่เอากลัว
0,ไม่เอาชาบู
0,ระยองไม่มี
0,ว่างนานสัส
0,เวนอดเลยยย
0,เสียจุยยยย
0,เสียดายจัง
0,เสียดายตัง
0,เสียเวลารอ
0,หมดโปรพอดี
0,เหลื่อมล้ำ
0,อ้วนมากค่ะ
0,กินเบื่อแระ
0,ขวางทางเท้า
0,ขับรถแย่มาก
0,ชีวาสนี้เมา
0,เชื่อได้หรอ
0,ตามใจ รำคาญ
0,ทัชสกรีนแย่
0,บ่แซ่บ หม็น
0,บัตรหมดแล้ว
0,บางจริงก้อน
0,แม่บอก ไม่!
0,ไม่ชอบซีวิค
0,ไม่ทัน จบนะ
0,ไม่มีตังงงง
0,ไม่มีภูเก็ต
0,ไม่อร่อยเลย
